vendor,receiving_owner_raw,needs_dock_receive,owner_keys,uncertain,notes,approx_invoice_count_aug1
3P,Ruben,True,ruben,False,,28
A.M. Castle & Co.,Anthony,True,anthony,False,,
A1 Image Office Systems,,False,,False,,
ABY Benefits LLC,,False,,False,,
"Air Products and Chemicals, Inc",,False,,False,,
Alarm Billing,,False,,False,,
Ally Auto,,False,,False,,
Alternative Parts Inc,Shawn,True,shawn,False,,
Amada America,Shawn,True,shawn,False,,0 (July-only in scan)
Amazon,Shawn/Monica,True,shawn|monica,False,,21
American Bearing Company,Ruben,True,ruben,False,,
American Quality Powder Coating,,False,,False,,71
Arrow Personnel,Ruben,True,ruben,False,,
Arrow Plating,Monica/Shawn,True,monica|shawn,False,,
Austin Hardware & Supply Inc.,,False,,False,,
Automated Finishing Technology,,False,,False,,
AVEX Installations LLC,,False,,False,,0 (July-only in scan)
Beshert Steel Processing,Anthony,True,anthony,False,,
"Capital Machine Technologies, Inc",Shawn,True,shawn,False,,
Central Expanded Metal,Shawn,True,shawn,False,,
City of Fort Worth,,False,,False,,
Coherent Corp.,Shawn,True,shawn,False,,
Colonial Life,,False,,False,,
Crosslink Powder Coating,Ruben,True,ruben,False,,29
Culligan Quench,,False,,False,,
Curbell Plastics,,False,,False,,
Earle M. Jorgensen Co,Anthony,True,anthony,False,,24
Eastern Metal Supply of Texas,,False,,False,,
eFax,,False,,False,,
ENGIE Resources LLC,,False,,False,,
Engineered Components,Monica/Shawn,True,monica|shawn,False,,0 (July-only in scan)
Exotic Metals,,False,,False,,
Fabcorp,,False,,False,,
Fastenal Company,Shawn/Monica,True,shawn|monica,False,,26
Freepoint Energy Solutions,,False,,False,,
"Gas and Supply North Texas, LLC",,False,,False,,39
Gexpro Services,Shawn,True,shawn,False,,
Globe Life,,False,,False,,
Graybar,,False,,False,,
Green Valley Compressor LLC,,False,,False,,
Greentree Packaging & Lumber,Ruben,True,ruben,False,,
GRM Information Management Services,,False,,False,,
"Guerrero Plating Technology, LLC",,False,,False,,0 (July-only in scan)
Hagens Fasteners,Shawn/Monica,True,shawn|monica,False,,
"Hapeco, Inc",,False,,False,,
Houston Plating,,False,,False,,
Hudson Energy,,False,,False,,
Insight Controller Services,,False,,False,,
IPFS,,False,,False,,
"Joseph T. Ryerson & Son, Inc",Anthony,True,anthony,False,,
JP Steel,"Anthony for raw material, shawn for purchased parts",True,anthony|shawn,False,,
K-T Galvanizing,Ruben,True,ruben,False,,
KIMCO,,False,,False,,0 (July-only in scan)
Kloeckner Metals Corporation,Anthony,True,anthony,False,,
Lavanture Products,Monica/Shawn,True,monica|shawn,False,,
"LD Industrial Solutions, LLC",,False,,False,,0 (July-only in scan)
"Leeco Steel, LLC",Anthony,True,anthony,False,,
Legacy Wire Products,Ruben,True,ruben,False,,47
Marmon/Keystone,"Anthony for raw material, shawn for purchased parts",True,anthony|shawn,False,,
McMaster-Carr Supply Company,Shawn/Monica/Anthony,True,shawn|monica|anthony,False,,39
McNichols,Anthony,True,anthony,False,,
McQueary Industries,Ruben,True,ruben,False,,
MEAU,,False,,False,,
Metal Supermarkets,Anthony,True,anthony,False,,
Metro Sprocket And Gear Inc,Shawn,True,shawn,False,,
Modern Heat Treat Inc,Anthony?,True,anthony,True,Sheet marked owner with ? — treat as Anthony until Kyle confirms.,
Morgan Steel,Shawn,True,shawn,False,,
MSC Industrial Supply,Shawn/Monica,True,shawn|monica,False,,
National Bolt and Ind Supply Co Inc.,Shawn,True,shawn,False,,
"National Specialty Alloys, Inc",,False,,False,,
Nova Alloys,Anthony,True,anthony,False,,
NTEX Electric Inc.,,False,,False,,
NTTA,,False,,False,,
O'Neal Steel - Dallas (GP),Anthony,True,anthony,False,,33
Online Metals,Shawn,True,shawn,False,,0 (July-only in scan)
Orthman Conveying Systems,Shawn,True,shawn,False,,
PCT Support,,False,,False,,
Phoenix Metals,Anthony,True,anthony,False,,
Pittsburgh Steel,Anthony,True,anthony,False,,0 (July-only in scan)
Polymer Products,Shawn,True,shawn,False,,
Precision Fabrication Services,Shawn,True,shawn,False,,
Premium Alloys,,False,,False,,
Primo Brands,Shawn/Anthony (this is water for the laser),True,shawn|anthony,False,Primo Brands water for the laser — sheet note kept.,
Priority 1,,False,,False,,
Production Metals,Shawn,True,shawn,False,,
Purvis Industries,Shawn,True,shawn,False,,
River City Steel,,False,,False,,0 (July-only in scan)
RMP Industrial Supply Inc,,False,,False,,
Rolled Alloys Inc,,False,,False,,
Safety-Kleen,,False,,False,,
Service Experts,,False,,False,,
Shoppa's Material Handling,,False,,False,,
Spectrum Business,,False,,False,,
SpectrumVoIP,,False,,False,,
"Steel Inspectors of Texas, Inc",,False,,False,,
"Stella Source, Inc",,False,,False,,
Techni-Tool,,False,,False,,
Tejas Transportation,,False,,False,,
Telecom Products Inc.,,False,,False,,
Toyota Commercial Finance,,False,,False,,
"Trace Metal Industries, Inc",Shawn,True,shawn,False,,
Tricor Metals,,False,,False,,
Tube Supply,,False,,False,,0 (July-only in scan)
UniFirst Corporation,,False,,False,,
UniFirst First Aid & Safety,,False,,False,,
Venturi Supply,Anthony,True,anthony,False,,
Versalift National Parts Distribution Center,Shawn,True,shawn,False,,
"Waste Connections Lone Star, Inc",,False,,False,,
Weckbrodt,,False,,False,,0 (July-only in scan)
Willbanks Metals,"Anthony for raw material, shawn for purchased parts",True,anthony|shawn,False,,
Xcaliber Industrial LLC,Anthony,True,anthony,False,,
